PID,SID,OID,LLO,LCO,NAME_SI,NAME_TA,NAME_EN
11,1,36,1-1-03,03,කොළඹ,கொழும்பு,Colombo
11,2,37,1-1-06,06,කොළොන්නාව,கொலண்ணா‍வை,Kolonnawa
11,3,38,1-1-09,09,කඩුවෙල,கடுவெலை/கடுவெ‍லை,Kaduwela
11,4,39,1-1-12,12,හෝමාගම,ஹோமாகம,Homagama
11,5,40,1-1-15,15,හංවැල්ල,ஹங்வெல்‍லை,Hanwella
11,6,41,1-1-18,18,පාදුක්ක,பாதுக்‍கை,Padukka
11,7,42,1-1-21,21,මහරගම,மஹரகம,Maharagama
11,8,43,1-1-24,24,ශ්‍රී ජයවර්ධනපුර කෝට්ටේ,ஸ்ரீ ஜயவர்தணபுர ‍கோட்‍டை,Sri Jayawardanapura Kotte
11,9,44,1-1-27,27,තිඹිරිගස්යාය,திம்பிரிகஸ்யா‍யை,Thimbirigasyaya
11,10,45,1-1-30,30,දෙහිවල-ගල්කිස්ස,தெஹிவளை-கல்கிஸ்‍ஸ,Dehiwala-Mount Lavinia
11,11,46,1-1-31,31,රත්මලාන,இரத்மழா‍ணை,Ratmalana
11,12,47,1-1-33,33,මොරටුව,மொரட்டு‍வை,Moratuwa
11,13,48,1-1-36,36,කැස්බෑව,கெஸ்‍‍பே‍வை,Kesbewa
12,1,49,1-2-03,03,මීගමුව,நீர்கொழும்பு,Negombo
12,2,50,1-2-06,06,කටාන,கட்டான,Katana
12,3,51,1-2-09,09,දිවුලපිටිය,திவுலப்பிட்டிய,Divulapitiya
12,4,52,1-2-12,12,මීරිගම,மீரிகம,Mirigama
12,5,53,1-2-15,15,මිනුවන්ගොඩ,மினுவன்கொ‍ட,Minuwangoda
12,6,54,1-2-18,18,වත්තල,வத்தளை,Wattala
12,7,55,1-2-21,21,ජා-ඇල,ஜா-எல,Ja-Ela
12,8,56,1-2-24,24,ගම්පහ,கம்பஹா,Gampaha
12,9,57,1-2-27,27,අත්තනගල්ල,அத்தணகல்‍லை,Attanagalla
12,10,58,1-2-30,30,දොම්පෙ,தொம்‍பே,Dompe
12,11,59,1-2-33,33,මහර,மஹற,Mahara
12,12,60,1-2-36,36,කැළණිය,களணி,Kelaniya
12,13,61,1-2-39,39,බියගම,பியக‍ம,Biyagama
13,1,62,1-3-03,03,පානදුර,பாணத்து‍றை,Panadura
13,2,63,1-3-06,06,බණ්ඩාරගම,பண்டாரக‍மை,Bandaragama
13,3,64,1-3-09,09,හොරණ,ஹொரணை,Horana
13,4,65,1-3-10,10,ඉංගිරිය,இங்கிரிய,Ingiriya
13,5,66,1-3-12,12,බුලත්සිංහල,புளத்சிங்கள,Bulathsinhala
13,6,67,1-3-15,15,මදුරාවල,மதுராவெள,Madurawala
13,7,68,1-3-18,18,මිල්ලනිය,மில்லணிய,Millaniya
13,8,69,1-3-21,21,කළුතර,களுத்து‍றை,Kalutara
13,9,70,1-3-24,24,බේරුවල,பேருவ‍ளை,Beruwala
13,10,71,1-3-27,27,දොඩම්ගොඩ,தொடங்கொட,Dodangoda
13,11,72,1-3-30,30,මතුගම,மத்துக‍மை,Mathugama
13,12,73,1-3-33,33,අගලවත්ත,அகலவத்‍தை,Agalawatta
13,13,74,1-3-36,36,පාලින්ද නුවර,பாலிந்தநுவர,Palindanuwara
13,14,75,1-3-39,39,වලල්ලාවිට,வளள்ளாவிட்ட,Walallavita
