PID,SID,ID,Name,Name_SI,Name_TA
11,1,36,Colombo,කොළඹ,கொழும்பு
11,2,37,Kolonnawa,කොලොන්නාව,கொலன்னாவை
11,3,38,Kaduwela,කඩුවෙල,கடுவெலை
11,4,39,Homagama,හෝමාගම,கோமகமை
11,5,40,Seethawaka,සීතාවක,சீதவாக்கை
11,6,41,Padukka,පාදුක්ක,பாதுக்கை
11,7,42,Maharagama,මහරගම,மகரகமை
11,8,43,Sri Jayawardanapura Kotte,ශ්‍රී ජයවර්ධනපුර කෝට්ටේ,ஸ்ரீ ஜயவர்தனபுர கோட்டை
11,9,44,Thimbirigasyaya,තිඹිරිගස්යාය,திம்பிரிகஸ்யாய
11,10,45,Dehiwala-Mount Lavinia,දෙහිවල-ගල්කිස්ස,தெகிவளை
11,11,46,Ratmalana,රත්මලාන,இரத்மலானை
11,12,47,Moratuwa,මොරටුව,மொரட்டுவை
11,13,48,Kesbewa,කැස්බෑව,கெஸ்பவை
12,1,49,Negombo,මීගමුව,நீர்கொழும்பு
12,2,50,Katana,කටාන,கந்தானை
12,3,51,Divulapitiya,දිවුලපිටිය,திவுலபிட்டிய
12,4,52,Mirigama,මීරිගම,மீரிகமை
12,5,53,Minuwangoda,මිනුවන්ගොඩ,மினுவாங்கொடை
12,6,54,Wattala,වත්තල,வத்தளை
12,7,55,Ja-Ela,ජා-ඇල,யா-எலை
12,8,56,Gampaha,ගම්පහ,கம்பகா
12,9,57,Attanagalla,අත්තනගල්ල,அத்தனகல்லை
12,10,58,Dompe,දොම්පෙ,தொம்பே
12,11,59,Mahara,මහර,மகரை
12,12,60,Kelaniya,කැළණිය,களனி
12,13,61,Biyagama,බියගම,பியகமை
13,1,62,Panadura,පානදුර,பாணந்துறை
13,2,63,Bandaragama,බණ්ඩාරගම,பண்டாரகமை
13,3,64,Horana,හොරණ,கொரணை
13,4,65,Ingiriya,ඉංගිරිය,இங்கிரிய
13,5,66,Bulathsinhala,බුලත්සිංහල,புலத்சிங்கள
13,6,67,Madurawala,මදුරාවෙල,மதுராவெலை
13,7,68,Millaniya,මිල්ලනිය,மில்லனிய
