PID,SID,OID,LLO,LCO,NAME_SI,NAME_TA,NAME_EN,Old Code
49,1,925,1-2-03-005,005,කම්මල්තුර,கம்மல்துரை,Kammalthura,77A
49,2,926,1-2-03-010,010,උතුරු පල්ලන්සේන,பல்லனசேன வடக்கு,Pallansena North,77
49,3,927,1-2-03-015,015,කොච්චිකඩේ,கொச்சிக‍டை,Kochchikade,78
49,4,928,1-2-03-020,020,දකුණු පල්ලන්සේන,பல்லண்‍சேன தெற்கு,Pallansena South,76
49,5,929,1-2-03-025,025,දළුවකොටුව,தலுவகொடுவ,Daluwakotuwa,74
49,6,930,1-2-03-030,030,පලඟතුරේ,பலங்கது‍ரை,Palangathure,75A
49,7,931,1-2-03-035,035,ඒත්තුකාල,ஏத்துகால,Ettukala,73
49,8,932,1-2-03-040,040,නැගෙනහිර දළුවකොටුව,தலுவகொட்டுவ கிழக்கு,Daluwakotuwa East,74A
49,9,933,1-2-03-045,045,කට්ටුව,கட்டுவ,Kattuwa,75
49,10,934,1-2-03-050,050,නැගෙනහිර දළුපත,தலுபொத்த கிழக்கு,Dalupotha East,72A
49,11,935,1-2-03-055,055,දළුපත,தலுபொத்த,Dalupotha,72
49,12,936,1-2-03-060,060,කුඩපාඩුව,குடாபாடுவ,Kudapaduwa,73A
49,13,937,1-2-03-065,065,කුඩපාඩුව උතුර,குடாபாடுவ வடக்கு,Kudapaduwa North,73B
49,14,938,1-2-03-070,070,කුඩපාඩුව දකුණ,குடாபாடுவ தெற்கு,Kudapaduwa South,73C
49,15,939,1-2-03-075,075,වැල්ල වීදිය,கடற்கரைத் தெரு,Wella Weediya,158
49,16,940,1-2-03-080,080,වැල්ල වීදිය නැගෙනහිර,கடற்கரை தெரு கிழக்கு,Wella Weediya East,158B
49,17,941,1-2-03-085,085,පෙරියමුල්ල,பெரியமுல்ல,Periyamulla,159
49,18,942,1-2-03-090,090,හුණුපිටිය,ஹுனுபிடிய,Hunupitiya,159A
49,19,943,1-2-03-095,095,අඟුරුකාරමුල්ල,அங்குருகரமுள்ள,Angurukaramulla,161A
49,20,944,1-2-03-100,100,උඩයාර්තෝප්පුව,உடையார் தோப்பு,Udayarthoppuwa,160
49,21,945,1-2-03-105,105,දකුණු වැල්ල වීදිය,தெற்கு கடற்கரைத்தெரு,Wella Weediya South,158A
49,22,946,1-2-03-110,110,උතුරු මුන්නක්කරය,வடக்கு முன்னக்கரை,Munnakkarai North,156A
49,23,947,1-2-03-115,115,දූව,தீவு,Doowa,162A
49,24,948,1-2-03-120,120,උතුරු පිටිපන,வடக்கு பிடிபன,Pitipana North,162
49,25,949,1-2-03-125,125,මැද පිටිපන,மத்திய பிடிபன,Pitipana Central,162D
49,26,950,1-2-03-130,130,මුන්නක්කරය,முன்னக்கரை,Munnakkaraya,156
49,27,951,1-2-03-135,135,නැගෙනහිර මුන්නක්කරය,கிழக்கு முன்னக்கரை,Munnakkarai East,156B
49,28,952,1-2-03-140,140,තලාදූව,தலாதீவு,Thaladuwa,160A
49,29,953,1-2-03-145,145,දකුණු උඩයාර්තෝප්පුව,தெற்கு உடையார் தோப்பு,Udayarthoppuwa South,160B
49,30,954,1-2-03-150,150,බෝලවලාන,‍போலவலான,Bolawalana,157
49,31,955,1-2-03-155,155,බටහිර කුරණ,‍மேற்கு குரண,Kurana West,157B
49,32,956,1-2-03-160,160,නැගෙනහිර කුරණ,குரண கிழக்கு,Kurana East,157A
49,33,957,1-2-03-165,165,සිරිවර්ධන පෙදෙස,சிரிவர்தன பிரதேசம்,Siriwardana Pedesa,156C
49,34,958,1-2-03-170,170,දකුණ පිටිපන නැගෙනහිර,தெற்கு பிடிபன கிழக்கு,South Pitipana East,162C
49,35,959,1-2-03-175,175,දකුණු පිටිපන,தெற்கு பிடிபன,Pitipana South,162B
49,36,960,1-2-03-180,180,තලාහේන,தலா‍ஹேன,Thalahena,163
