PID,SID,OID,LLO,LCO,NAME_SI,NAME_TA,NAME_EN,MPA Code
62,1,2102,1-3-03-005,005,හොරේතුඩුව උතුර,ஹொரேதுடுவ வடக்கு,Horethuduwa North,670B
62,2,2103,1-3-03-010,010,හොරේතුඩුව,ஹொரேதுடுவ,Horethuduwa,670
62,3,2104,1-3-03-015,015,හොරේතුඩුව මැද,மத்திய ஹொரேதுடுவ,Horethuduwa Central,670C
62,4,2105,1-3-03-020,020,හොරේතුඩුව දකුණ,ஹொரதுடுவ தெற்கு,Horethuduwa South,670A
62,5,2106,1-3-03-025,025,ගොරකාන,கொரகாண,Gorakana,671
62,6,2107,1-3-03-030,030,ගොරකානදකුණ,கொரகாண தெற்கு,Gorakana South,671A
62,7,2108,1-3-03-035,035,පරත්ත බටහිර,பரத்த மேற்கு,Paratta West,672D
62,8,2109,1-3-03-040,040,පරත්ත,பரத்த,Paratta,672A
62,9,2110,1-3-03-045,045,දිග්ගල,திக்கல,Diggala,672B
62,10,2111,1-3-03-050,050,කෙසෙල්වත්ත,கெசெல்வத்த,Keselwatta,672
62,11,2112,1-3-03-055,055,සරික්කාමුල්ල,சரீக்காமுல்ல,Sarikkamulla,673
62,12,2113,1-3-03-060,060,හේනමුල්ල,ஹேணமுல்ல,Henamulla,673A
62,13,2114,1-3-03-065,065,වත්තල්පොල,வத்தல்பொல,Wattalpola,674A
62,14,2115,1-3-03-070,070,මීරියවත්ත,மீரியவத்த,Miriyawatta,672C
62,15,2116,1-3-03-075,075,තොටවත්ත,தொட்டவத்த,Thotawatta,675
62,16,2117,1-3-03-080,080,වේරවත්ත,வேரவத்த,Werawatta,674B
62,17,2118,1-3-03-085,085,පල්ලිමුල්ල,பல்லிமுல்ல,Pallimulla,673B
62,18,2119,1-3-03-090,090,ගොරකාපොල,கொரகாபொல,Gorakapola,674
62,19,2120,1-3-03-095,095,වලාන උතුර,வலாண வடக்கு,Walana North,679A
62,20,2121,1-3-03-100,100,අම්බලන්දූව,அம்பலந்தூவ,Ambalanduwa,675A
62,21,2122,1-3-03-105,105,ගල්තුඩේ උතුර,கல்துடே வடக்கு,Galthude North,677A
62,22,2123,1-3-03-110,110,ගල්තුඩේ,கல்துடே,Galthude,677
62,23,2124,1-3-03-115,115,හිරණ බටහිර,ஹிரண மேற்கு,Hirana West,676A
62,24,2125,1-3-03-120,120,හිරණ,ஹிரண,Hirana,676
62,25,2126,1-3-03-125,125,තන්තිරිමුල්ල නැගෙනහිර,தந்திரிமுல்ல கிழக்கு,Thanthirimulla East,681A
62,26,2127,1-3-03-130,130,තන්තිරිමුල්ල,தந்திரிமுல்ல,Thanthirimulla,681
62,27,2128,1-3-03-135,135,බෙක්කේගම,பெக்கெகம,Bekkegama,680
62,28,2129,1-3-03-140,140,වලාන දකුණ,வலாண தெற்கு,Walana South,679B
62,29,2130,1-3-03-145,145,වලාන,வலாண,Walana,679
62,30,2131,1-3-03-150,150,උඩහමුල්ල,உடகமுல்ல,Udahamulla,682
62,31,2132,1-3-03-155,155,පුංචිදෙණිය,புஞ்சிதெணிய,Punchideniya,682C
62,32,2133,1-3-03-160,160,මාලමුල්ල බටහිර,மாலமுல்ல மேற்கு,Malamulla West,684A
