PID,SID,ID,Name,Name_SI,Name_TA
2,1,11,Colombo,කොළඹ,கொழும்பு,
2,2,12,Gampaha,ගම්පහ,கம்பஹா,
2,3,13,Kalutara,කළුතර,களுத்துறை,
3,4,14,Kandy,මහනුවර,கண்டி,
3,5,15,Matale,මාතලේ,மாத்தளை,
3,6,16,Nuwara Eliya,නුවරඑළිය,நுவரேலியா,
4,7,17,Galle,ගාල්ල,காலி,
4,8,18,Matara,මාතර,மாத்தறை,
4,9,19,Hambantota,හම්බන්තොට,அம்பாந்தோட்டை,
5,10,20,Jaffna,යාපනය,யாழ்ப்பாணம்,
5,11,21,Kilinochchi,කිලිනොච්චි,கிளிநொச்சி,
5,12,22,Mannar,මාන්නාරම,மன்னார்,
5,13,23,Vavuniya,වවුනියාව,வவுனியா,
5,14,24,Mullaitivu,මුලතිව්,முல்லைத்தீவு,
6,15,25,Batticaloa,මඩකලපුව,மட்டக்களப்பு,
6,16,26,Ampara,අම්පාර,அம்பாறை,
6,17,27,Trincomalee,ත්‍රිකුණාමලය,திருகோணமலை,
7,18,28,Kurunegala,කුරුණෑගල,குருநாகல்,
7,19,29,Puttalam,පුත්තලම,புத்தளம்,
8,20,30,Anuradhapura,අනුරාධපුර,அனுராதபுரம்,
8,21,31,Polonnaruwa,පොළොන්නරු,பொலன்னறுவை,
9,22,32,Badulla,බදුල්ල,பதுளை,
9,23,33,Moneragala,මොණරාගල,மொணராகலை,
10,24,34,Ratnapura,රත්නපුර,இரத்தினபுரம்,
10,25,35,Kegalle,කෑගල්ල,கேகாலை,
