,අ,ආ,ඇ,ඈ,ඉ,ඊ,උ,ඌ,එ,ඒ,ඓ,ඔ,ඕ,ඖ
ක්,ක,කා,කැ,කෑ,කි,කී,කු,කූ,කෙ,කේ,කෛ,කො,කෝ,කෞ
ඛ්,ඛ,ඛා,ඛැ,ඛෑ,ඛි,ඛී,ඛු,ඛූ,ඛෙ,ඛේ,ඛෛ,ඛො,ඛෝ,ඛෞ
ග්,ග,ගා,ගැ,ගෑ,ගි,ගී,ගු,ගූ,ගෙ,ගේ,ගෛ,ගො,ගෝ,ගෞ
ඝ්,ඝ,ඝා,ඝැ,ඝෑ,ඝි,ඝී,ඝු,ඝූ,ඝෙ,ඝේ,ඝෛ,ඝො,ඝෝ,ඝෞ
ච්,ච,චා,චැ,චෑ,චි,චී,චු,චූ,චෙ,චේ,චෛ,චො,චෝ,චෞ
ඡ්,ඡ,ඡා,ඡැ,ඡෑ,ඡි,ඡී,ඡු,ඡූ,ඡෙ,ඡේ,ඡෛ,ඡො,ඡෝ,ඡෞ
ජ්,ජ,ජා,ජැ,ජෑ,ජි,ජී,ජු,ජූ,ජෙ,ජේ,ජෛ,ජො,ජෝ,ජෞ
ට්,ට,ටා,ටැ,ටෑ,ටි,ටී,ටු,ටූ,ටෙ,ටේ,ටෛ,ටො,ටෝ,ටෞ
ඨ්,ඨ,ඨා,ඨැ,ඨෑ,ඨි,ඨී,ඨු,ඨූ,ඨෙ,ඨේ,ඨෛ,ඨො,ඨෝ,ඨෞ
ඩ්,ඩ,ඩා,ඩැ,ඩෑ,ඩි,ඩී,ඩු,ඩූ,ඩෙ,ඩේ,ඩෛ,ඩො,ඩෝ,ඩෞ
ණ්,ණ,ණා,ණැ,ණෑ,ණි,ණී,ණු,ණූ,ණෙ,ණේ,ණෛ,ණො,ණෝ,ණෞ
ත්,ත,තා,තැ,තෑ,ති,තී,තු,තූ,තෙ,තේ,තෛ,තො,තෝ,තෞ
ථ්,ථ,ථා,ථැ,ථෑ,ථි,ථී,ථු,ථූ,ථෙ,ථේ,ථෛ,ථො,ථෝ,ථෞ
ද්,ද,දා,දැ,දෑ,දි,දී,දු,දූ,දෙ,දේ,දෛ,දො,දෝ,දෞ
ධ්,ධ,ධා,ධැ,ධෑ,ධි,ධී,ධු,ධූ,ධෙ,ධේ,ධෛ,ධො,ධෝ,ධෞ
න්,න,නා,නැ,නෑ,නි,නී,නු,නූ,නෙ,නේ,නෛ,නො,නෝ,නෞ
ප්,ප,පා,පැ,පෑ,පි,පී,පු,පූ,පෙ,පේ,පෛ,පො,පෝ,පෞ
ඵ්,ඵ,ඵා,ඵැ,ඵෑ,ඵි,ඵී,ඵු,ඵූ,ඵෙ,ඵේ,ඵෛ,ඵො,ඵෝ,ඵෞ
බ්,බ,බා,බැ,බෑ,බි,බී,බු,බූ,බෙ,බේ,බෛ,බො,බෝ,බෞ
භ්,භ,භා,භැ,භෑ,භි,භී,භු,භූ,භෙ,භේ,භෛ,භො,භෝ,භෞ
ම්,ම,මා,මැ,මෑ,මි,මී,මු,මූ,මෙ,මේ,මෛ,මො,මෝ,මෞ
ය්,ය,යා,යැ,යෑ,යි,යී,යු,යූ,යෙ,යේ,යෛ,යො,යෝ,යෞ
ර්,ර,රා,රැ,රෑ,රි,රී,රු,රූ,රෙ,රේ,රෛ,රො,රෝ,රෞ
ල්,ල,ලා,ලැ,ලෑ,ලි,ලී,ලු,ලූ,ලෙ,ලේ,ලෛ,ලො,ලෝ,ලෞ
ව්,ව,වා,වැ,වෑ,වි,වී,වු,වූ,වෙ,වේ,වෛ,වො,වෝ,වෞ
ශ්,ශ,ශා,ශැ,ශෑ,ශි,ශී,ශු,ශූ,ශෙ,ශේ,ශෛ,ශො,ශෝ,ශෞ
ෂ්,ෂ,ෂා,ෂැ,ෂෑ,ෂි,ෂී,ෂු,ෂූ,ෂෙ,ෂේ,ෂෛ,ෂො,ෂෝ,ෂෞ
ස්,ස,සා,සැ,සෑ,සි,සී,සු,සූ,සෙ,සේ,සෛ,සො,සෝ,සෞ
හ්,හ,හා,හැ,හෑ,හි,හී,හු,හූ,හෙ,හේ,හෛ,හො,හෝ,හෞ
ළ්,ළ,ළා,ළැ,ළෑ,ළි,ළී,ළු,ළූ,ළෙ,ළේ,ළෛ,ළො,ළෝ,ළෞ
ෆ්,ෆ,ෆා,ෆැ,ෆෑ,ෆි,ෆී,ෆු,ෆූ,ෆෙ,ෆේ,ෆෛ,ෆො,ෆෝ,ෆෞ
