,அ - අ,ஆ - ආ,இ - ඉ,ஈ - ඊ,உ - උ,ஊ - ඌ,எ - එ,ஏ - ඒ,ஐ - ඓ,ஒ - ඔ,ஓ - ඕ,ஔ - ඖ
க் - ක්,க - ක,கா - කා,கி - කි,கீ - කී,கு - කු,கூ - කූ,கெ - කෙ,கே - කේ,கை - කෛ,கொ - කො,கோ - කෝ,கௌ - කෞ
ங் - ඞ්,ங - ඞ,ஙா - ඞා,ஙி - ඞි,ஙீ - ඞී,ஙு - ඞු,ஙூ - ඞූ,ஙெ - ඞෙ,ஙே - ඞේ,ஙை - ඞෛ,ஙொ - ඞො,ஙோ - ඞෝ,ஙௌ - ඞෞ
ச் - ච්,ச - ච,சா - චා,சி - චි,சீ - චී,சு - චු,சூ - චූ,செ - චෙ,சே - චේ,சை - චෛ,சொ - චො,சோ - චෝ,சௌ - චෞ
ஞ் - ඤ්,ஞ - ඤ,ஞா - ඤා,ஞி - ඤි,ஞீ - ඤී,ஞு - ඤු,ஞூ - ඤූ,ஞெ - ඤෙ,ஞே - ඤේ,ஞை - ඤෛ,ஞொ - ඤො,ஞோ - ඤෝ,ஞௌ - ඤෞ
ட் - ට්,ட - ට,டா - ටා,டி - ටි,டீ - ටී,டு - ටු,டூ - ටූ,டெ - ටෙ,டே - ටේ,டை - ටෛ,டொ - ටො,டோ - ටෝ,டௌ - ටෞ
ண் - ණ්,ண - ණ,ணா - ණා,ணி - ණි,ணீ - ණී,ணு - ණු,ணூ - ණූ,ணெ - ණෙ,ணே - ණේ,ணை - ණෛ,ணொ - ණො,ணோ - ණෝ,ணௌ - ණෞ
த் - ත්,த - ත,தா - තා,தி - ති,தீ - තී,து - තු,தூ - තූ,தெ - තෙ,தே - තේ,தை - තෛ,தொ - තො,தோ - තෝ,தௌ - තෞ
ந் - න්,ந - න,நா - නා,நி - නි,நீ - නී,நு - නු,நூ - නූ,நெ - නෙ,நே - නේ,நை - නෛ,நொ - නො,நோ - නෝ,நௌ - නෞ
ப் - ප්,ப - ප,பா - පා,பி - පි,பீ - පී,பு - පු,பூ - පූ,பெ - පෙ,பே - පේ,பை - පෛ,பொ - පො,போ - පෝ,பௌ - පෞ
ம் - ම්,ம - ම,மா - මා,மி - මි,மீ - මී,மு - මු,மூ - මූ,மெ - මෙ,மே - මේ,மை - මෛ,மொ - මො,மோ - මෝ,மௌ - මෞ
ய் - ය්,ய - ය,யா - යා,யி - යි,யீ - යී,யு - යු,யூ - යූ,யெ - යෙ,யே - යේ,யை - යෛ,யொ - යො,யோ - යෝ,யௌ - යෞ
ர் - ර්,ர - ර,ரா - රා,ரி - රි,ரீ - රී,ரு - රු,ரூ - රූ,ரெ - රෙ,ரே - රේ,ரை - රෛ,ரொ - රො,ரோ - රෝ,ரௌ - රෞ
ல் - ල්,ல - ල,லா - ලා,லி - ලි,லீ - ලී,லு - ලු,லூ - ලූ,லெ - ලෙ,லே - ලේ,லை - ලෛ,லொ - ලො,லோ - ලෝ,லௌ - ලෞ
வ் - ව්,வ - ව,வா - වා,வி - වි,வீ - වී,வு - වු,வூ - වූ,வெ - වෙ,வே - වේ,வை - වෛ,வொ - වො,வோ - වෝ,வௌ - වෞ
ழ் - ළ්,ழ - ළ,ழா - ළා,ழி - ළි,ழீ - ළී,ழு - ළු,ழூ - ළූ,ழெ - ළෙ,ழே - ළේ,ழை - ළෛ,ழொ - ළො,ழோ - ළෝ,ழௌ - ළෞ
ள் - ල්,ள - ළ,ளா - ළා,ளி - ළි,ளீ - ළී,ளு - ළු,ளூ - ළූ,ளெ - ළෙ,ளே - ළේ,ளை - ළෛ,ளொ - ළො,ளோ - ළෝ,ளௌ - ළෞ
ற் - ට්/ර්,ற - ට,றா - ටා,றி - ටි,றீ - ටී,று - ටු,றூ - ටූ,றெ - ටෙ,றே - ටේ,றை - ටෛ,றொ - ටො,றோ - ටෝ,றௌ - ටෞ
ன் - න්,ன - න,னா - නා,னி - නි,னீ - නී,னு - නු,னூ - නූ,னெ - නෙ,னே - නේ,னை - නෛ,னொ - නො,னோ - නෝ,னௌ - නෞ
